,loc,scale,expectation,cv
MGS3,-2.0911663,0.49090305,0.13936299,0.28389108
MGS4,-2.0136747,0.5167762,0.15256785,0.29523003
MGSV:TPP,-2.0237966,0.53085274,0.1521491,0.28661263
MG兄貴,-2.078831,0.478537,0.14024954,0.29307982
MG姉貴兄貴,-2.030428,0.5311707,0.15116903,0.28459594
MH,-1.9708719,0.51115024,0.15878016,0.31063306
MHF,-2.0495336,0.47419348,0.14412075,0.30392817
MHX,-2.1239493,0.4588201,0.13282919,0.28950167
MHXX,-1.988415,0.5440802,0.15875338,0.29178306
MIMI姉貴,-2.0479462,0.48371512,0.1450095,0.29978287
MIkuMikuDance,-2.207109,0.5039315,0.12491327,0.24787746
MK5,-2.0398195,0.51617086,0.14858422,0.2878586
MKMK姉貴,-1.9925253,0.5269646,0.15665968,0.2972869
MKMMKT姉貴,-2.1378655,0.5327761,0.13588582,0.2550524
MLP,-2.1165316,0.46571758,0.13424549,0.28825513
MLaaTR,-2.119839,0.543581,0.13916446,0.2560142
MMD,-2.0798218,0.4915762,0.14099962,0.28683165
MMD-OMF,-2.1037693,0.49187487,0.13768335,0.2799154
MMDFA:G,-2.0534089,0.5156357,0.14653826,0.2841895
MMDUTAUモデル(重音テト関連),-2.0980492,0.49331108,0.13857116,0.28090015
MMDer進化録,-1.988744,0.5062735,0.15558118,0.30730656
MMDgif,-2.071172,0.48856238,0.14201461,0.29067856
MMDiM@sモデル,-2.1330814,0.48916778,0.13352868,0.27297112
MMDm@ster,-2.0398622,0.5312655,0.1497571,0.2818875
MMDおそ松さん,-2.0746942,0.4842351,0.14121775,0.29163057
MMDきかんしゃトーマス,-2.0041096,0.5073315,0.15329105,0.30215165
MMDけもフレ,-2.029087,0.47333077,0.14703773,0.31064478
MMDけもフレR,-2.0553257,0.45825765,0.14222774,0.31036633
MMDまどか☆マギカ,-1.9732724,0.49312872,0.15697253,0.3183196
MMDまほやく,-2.0977519,0.52651715,0.14097936,0.26775834
MMDアクション,-2.032512,0.51338065,0.14945917,0.29112738
MMDアクセサリ,-2.0608172,0.4921202,0.14374332,0.29208985
MMDアクセサリ配布,-2.026948,0.5287856,0.15150437,0.2865138
MMDアクセサリ配布あり,-2.0390267,0.5090031,0.14815673,0.29107237
MMDアズールレーン,-2.1242292,0.45961997,0.13284078,0.2890231
MMDイベント告知,-2.0268452,0.52503973,0.15122116,0.2880185
MMDウマ娘,-2.0871356,0.43753582,0.13650191,0.31197882
MMDウルトラマン,-2.1129496,0.50845206,0.137561,0.2705486
MMDオリキャラ,-2.1255367,0.47868562,0.13385919,0.27963904
MMDオリメカ,-2.0825486,0.54078037,0.14423276,0.26671228
MMDカフェ・バー,-2.0838106,0.46521178,0.13867813,0.29809678
MMDカレンダー,-2.0255697,0.49995714,0.14948024,0.2989861
MMDガンアクション,-2.0938082,0.52704203,0.14157559,0.26862296
MMDガンダム,-1.9879245,0.51511097,0.1564131,0.3036493
MMDクッキー☆,-2.0297894,0.5533822,0.15309855,0.2766597
MMDクリスマス,-2.0198884,0.54090136,0.15356962,0.2839143
MMDクリーチャーズ,-2.117149,0.4794697,0.13503739,0.28163907
MMDケムリクサ,-2.105806,0.48838705,0.1371685,0.28086022
MMDゴジラ,-2.0893304,0.5620703,0.14494964,0.25788525
MMDシェーダー,-2.0023472,0.5161162,0.1542533,0.29887322
MMDジャケットアート,-2.0035825,0.50681967,0.15333205,0.3025377
MMDステージ,-2.1380377,0.50955564,0.13422817,0.263422
MMDステージ配布,-2.0176814,0.51666695,0.1519492,0.29409507
MMDステージ配布あり,-2.0866652,0.5166473,0.1418191,0.27449888
MMDスプラトゥーン,-1.9886911,0.49528572,0.15473564,0.3124169
MMDスポーツ配布あり,-2.123635,0.48707032,0.1346581,0.27646542
MMDスーパー戦隊,-2.052922,0.47013867,0.1433585,0.30492812
MMDゾイド,-2.0573823,0.5046437,0.14514099,0.28761083
MMDチョロQ,-2.093861,0.50762796,0.14015336,0.27609465
MMDチョロＱ,-1.9757847,0.49011803,0.1563471,0.31899887
MMDツイステ,-1.9802126,0.5067322,0.15695065,0.30973095
MMDテクスチャ,-2.020943,0.47381213,0.14827393,0.31293824
MMDトランスフォーマー,-2.0541599,0.48183483,0.14398049,0.2988171
MMDドラクエ,-2.056425,0.49997413,0.14493963,0.28989425
MMDハロウィン,-2.1058109,0.52804613,0.13996056,0.26505366
MMDハロウィンアクセサリ,-2.0665247,0.50453657,0.14381233,0.28503847
MMDバイク,-2.0549724,0.48793843,0.14428996,0.29571345
MMDバス,-2.0799417,0.48082608,0.14024775,0.2916808
MMDバストイレ,-2.0223362,0.49957073,0.1499354,0.30012846
MMDバトルガールハイスクール,-2.064544,0.51618916,0.14495699,0.28082144
MMDバレンタイン,-1.973422,0.500039,0.15748855,0.31495255
MMDバンドリ,-2.046584,0.4954687,0.14604516,0.29476163
MMDバーチャルYouTuber,-2.072905,0.49461702,0.14219129,0.28747755
MMDバーチャルyoutuber,-2.1043792,0.48711473,0.13727917,0.281821
MMDパンツリンク,-2.0507097,0.4214378,0.14059038,0.333597
MMDヒロアカ,-2.0186825,0.49166983,0.14989612,0.3048715
MMDファンタジー,-2.0579393,0.55356044,0.14886363,0.26892027
MMDフィールド,-2.0778942,0.4718327,0.13993447,0.29657644
MMDブルアカ,-2.0565307,0.4987622,0.14483663,0.29039216
MMDホラー,-1.9697738,0.4850378,0.15690057,0.3234811
MMDホロライブ,-2.0640182,0.5227211,0.14552613,0.27840108
MMDボディパーツ,-2.1060967,0.5555427,0.14202063,0.25564304
MMDポケモン,-1.9696385,0.5973002,0.1667508,0.2791742
MMDポスター,-2.0065312,0.52626723,0.15442409,0.29343283
MMDポーズ配布あり,-1.9865093,0.49536297,0.15507954,0.31306246
MMDマシン配布あり,-2.0213325,0.46590665,0.14766663,0.3169447
MMDモデル,-2.0942001,0.52046555,0.1410335,0.27097568
MMDモデル配布,-2.0639307,0.4570898,0.14093377,0.3083284
MMDモデル配布あり,-2.072453,0.50441575,0.14295357,0.28340426
MMDモーショントレース,-1.9612314,0.4793192,0.15781087,0.3292396
MMDモーターサイクル,-2.1333506,0.46336663,0.1318624,0.28457466
MMDモータースポーツ,-1.9724063,0.48977506,0.15684983,0.32024872
MMDユーザーモデル,-2.00725,0.42131495,0.14682749,0.34849817
MMDユーザーモデル(ゲーム関連),-2.0656726,0.4683792,0.14142537,0.3019463
MMDユーザーモデル(初音ミク関連),-2.0492144,0.49368095,0.14553279,0.29479116
MMDユーザーモデル(漫画、アニメ関連),-2.0455873,0.503112,0.14674975,0.29168406
MMDライブステージ,-2.0450864,0.4762297,0.14490326,0.3042718
MMDラブライブ！,-1.9863601,0.50279725,0.15567923,0.30962625
MMDルーム,-2.0099962,0.53107446,0.15428156,0.29050833
MMDワートリ,-2.1821215,0.5394153,0.13046673,0.24186695
MMD乗物配布,-2.1126819,0.47977,0.13566154,0.2827637
MMD仮面ライダー,-2.044448,0.5201317,0.14820196,0.2849316
MMD刀剣乱舞,-2.0597317,0.50280625,0.14466643,0.28771806
MMD刀剣類,-1.9822472,0.48748752,0.15514034,0.31824473
MMD刑具配布,-2.0989466,0.51252466,0.13979115,0.27275008
MMD動物,-2.0832813,0.5262187,0.1430118,0.27177253
MMD医療,-2.0343454,0.5346282,0.15085568,0.2821693
MMD原神,-2.0198636,0.5311506,0.15277284,0.28762624
MMD和風アクセサリ,-2.0307372,0.49133527,0.14807564,0.30137393
MMD和風ステージ,-1.9851309,0.4842542,0.15445077,0.31894565
MMD壁床,-2.1350253,0.49584422,0.13370833,0.26965794
MMD学校,-2.0667965,0.533294,0.1459348,0.27364793
MMD家具,-2.0570145,0.5510314,0.14879337,0.270027
MMD小物,-2.0543897,0.52128696,0.14682417,0.28165707
MMD年賀状,-2.082298,0.45844194,0.1384545,0.30201098
MMD建材,-2.051653,0.48558736,0.14460413,0.2977922
MMD建物,-2.0774364,0.47440812,0.1401692,0.29546124
MMD建築,-2.0309741,0.47859037,0.14712839,0.30742028
MMD戦国BASARA,-2.0167055,0.4474095,0.14710365,0.32878974
MMD戦隊,-1.9571278,0.5520813,0.16451873,0.2979973
MMD日用品,-2.0984614,0.4975577,0.13880578,0.27897424
MMD星のカービィ,-2.1081085,0.51623374,0.13878077,0.26883322
MMD東方モデル,-2.014447,0.5045991,0.15150498,0.3002482
MMD枠,-2.0602698,0.49271452,0.14386411,0.29198268
MMD柵,-2.0293438,0.50596875,0.14936809,0.2952121
MMD植物,-2.0302498,0.50065625,0.14883433,0.2972785
MMD植物ステージ,-2.0277483,0.54465574,0.15267812,0.2803204
MMD武器,-2.0054746,0.5266976,0.15462238,0.29356956
MMD漫画,-2.0776825,0.54932505,0.14561291,0.26507604
MMD照明,-2.1021218,0.51276666,0.13936527,0.27179083
MMD牢檻,-2.0036,0.49743587,0.15260862,0.30679053
MMD特撮,-2.0239375,0.49239698,0.14916383,0.30293408
MMD空軍,-2.065552,0.44835454,0.14015011,0.3125877
MMD紙芝居,-2.0187662,0.47506776,0.14868559,0.31297764
MMD絡みポーズ,-2.0779638,0.5539057,0.14594024,0.26347488
MMD羽・翼,-2.023076,0.4733338,0.14792445,0.31251615
MMD自動車,-2.0351865,0.52061176,0.14961827,0.28738934
MMD自動車配布あり,-2.0740602,0.486459,0.1414599,0.29079512
MMD艦これ,-2.0687253,0.5176452,0.1444608,0.279073
MMD艦これ(海外艦モデル),-2.0204208,0.43947834,0.1460436,0.33231124
MMD艦これ(駆逐艦モデル),-2.0185819,0.53836495,0.15356007,0.28523415
MMD花騎士,-2.0295293,0.50570667,0.14932059,0.29527116
MMD菓子,-2.0711775,0.51604,0.14398749,0.2790239
MMD衣装配布あり,-2.0474277,0.5090861,0.14692348,0.28860244
MMD装飾アクセサリ,-2.0596263,0.5058171,0.14490154,0.28647023
MMD装飾アクセサリ・被り物,-2.062846,0.4552026,0.14096534,0.30967605
MMD講座,-2.025928,0.4748393,0.14760849,0.3108599
MMD造兵廠,-2.0002475,0.5277831,0.1555217,0.29466975
MMD遊具,-2.0989964,0.4946774,0.13853344,0.28004804
MMD都市,-2.1575992,0.55271494,0.13468018,0.24367024
MMD酒場,-2.0385916,0.50698406,0.14806926,0.292059
MMD鉄道,-1.9921668,0.44230407,0.15041605,0.34007385
MMD銃火器,-2.0599058,0.5142523,0.14548561,0.28290707
MMD陸軍,-2.042525,0.45861208,0.14408346,0.31417283
MMD階段・エレベータ,-2.0833125,0.52772707,0.14312103,0.27120274
MMD電気製品,-2.1309807,0.49447545,0.13415925,0.2713163
MMD音響,-2.0166225,0.47565627,0.14904633,0.31334883
MMD食堂,-2.0774252,0.49253684,0.14140475,0.28709477
MME,-2.0678344,0.46592388,0.14095822,0.30253488
MMEデータ配布あり,-2.030423,0.51048034,0.14954948,0.29295835
MMQ,-2.076529,0.53311116,0.1445073,0.2710641
MMR,-1.955084,0.5168029,0.16177621,0.31303272
MOD,-2.0140655,0.5387942,0.15429083,0.28636318
MOHAN,-2.0404105,0.4692111,0.14510016,0.3092428
MOTHER,-2.069378,0.5229375,0.14476463,0.27682972
MOTHER2,-2.0392597,0.50356174,0.14771472,0.29333985
MOT姉貴,-2.0520515,0.5576982,0.15008733,0.26911926
MP5,-2.1202548,0.52805007,0.13795383,0.26125142
MR2,-2.1438699,0.4540419,0.12992565,0.28615344
MS,-2.0251434,0.530257,0.15189631,0.28645793
MSRMZNM姉貴,-2.0733986,0.46541524,0.14014286,0.3011136
MSSP,-2.0310342,0.5161922,0.149897,0.2903899
MSTA,-2.0559623,0.46629974,0.14266662,0.30595475
MSV,-2.0380688,0.516658,0.14888205,0.28816363
MS少女,-2.0765045,0.4877656,0.1412044,0.28949234
MTG,-2.024004,0.49410936,0.14927992,0.3021192
MUGEN,-2.0775619,0.5647845,0.14689003,0.26008153
MUGENオリジナルキャラクター,-2.0332627,0.46755606,0.14602779,0.31232145
MUR,-2.0565147,0.47729254,0.14332928,0.3002965
MUR猫,-2.0112016,0.5120459,0.15257391,0.2979692
MUR肉,-2.0854676,0.55871165,0.14523703,0.2599499
MX,-2.0572639,0.53279006,0.14729303,0.27645603
MYCOEIROINK,-1.9832351,0.501787,0.15608728,0.3110628
MYN図書館,-2.050523,0.5217298,0.14742701,0.28257346
MZTIS,-2.0302343,0.49991903,0.14878175,0.29761168
MZ姉貴,-1.934459,0.4741687,0.16169539,0.34100816
Madness_Combat二次創作,-2.0831895,0.4863169,0.14016464,0.28821668
MagicaVoxel,-1.9994916,0.5170758,0.15477113,0.29932
