,loc,scale,expectation,cv
295242,-2.1020958,0.54248196,0.14157121,0.48106566
295540,-2.1104658,0.49886772,0.13723901,0.5514508
299918,-2.0260785,0.5395011,0.15250655,0.5239669
299975,-1.9678258,0.45736185,0.15516973,0.7418005
300451,-2.0444388,0.45363346,0.14348179,0.69724697
300532,-2.117406,0.51430786,0.13736005,0.519295
304516,-2.1413305,0.4778653,0.13171,0.5767767
310228,-2.0470498,0.5252873,0.14821573,0.53715616
315245,-1.949142,0.5043335,0.16170755,0.63576216
319463,-2.0410604,0.4840417,0.14603452,0.62328976
320608,-2.1001422,0.51999646,0.14016372,0.518364
327283,-2.0613241,0.46034095,0.1415125,0.6677833
329120,-2.069301,0.46404666,0.14062883,0.653057
330193,-2.0976582,0.43412653,0.13487254,0.7156339
330665,-2.0210953,0.58597755,0.1573299,0.4581939
331395,-2.090183,0.4890506,0.13937353,0.58273715
333077,-2.0354447,0.48196283,0.14670953,0.63158417
334783,-2.0531824,0.5781038,0.15166512,0.45381004
336395,-2.1133997,0.48144546,0.13567339,0.5853296
342860,-2.0631096,0.46475643,0.14154886,0.6553232
343484,-2.0775888,0.45807335,0.13908456,0.66284025
344548,-1.9491596,0.4754246,0.15943079,0.7053569
346187,-2.0426319,0.530388,0.14927335,0.5306338
347413,-2.069815,0.5389817,0.14593932,0.5023707
349861,-2.0765743,0.44974896,0.13870065,0.6857063
350248,-1.9657604,0.48652682,0.15764554,0.66599065
350639,-2.112261,0.48557618,0.1360995,0.57722056
351009,-2.0267098,0.50765336,0.14988996,0.58161825
355352,-2.0079038,0.43615264,0.14766793,0.77626354
356220,-2.04415,0.4918848,0.14614226,0.6040168
361206,-2.0703225,0.48141205,0.14164326,0.61116993
364492,-2.086953,0.49051386,0.13992469,0.5815563
365241,-2.0274498,0.509271,0.14990231,0.5779768
366329,-2.0421257,0.48844966,0.14619204,0.6127511
366682,-2.1453197,0.46235028,0.13023227,0.6092231
367454,-2.1147754,0.5133979,0.1376575,0.522266
367619,-2.0568283,0.5058013,0.1453064,0.56796926
369388,-1.9832017,0.48344895,0.15468875,0.66184676
370164,-2.0336318,0.44916037,0.14474826,0.71748114
373531,-2.0214636,0.47753003,0.14845906,0.6510365
374157,-2.0092163,0.49901074,0.15187304,0.60990316
376467,-2.0495837,0.4752712,0.14418727,0.6383281
377020,-2.0778704,0.48216283,0.14062904,0.6049055
382411,-2.0150104,0.502934,0.15129268,0.5981305
385790,-1.9960582,0.57684207,0.16046414,0.482241
386788,-2.0431328,0.5740669,0.1528411,0.4637834
389849,-1.982893,0.48448914,0.15481442,0.65954334
392213,-2.0006557,0.49696347,0.15302266,0.61959344
393109,-2.105095,0.5190264,0.13940099,0.5174721
396056,-2.032817,0.47412106,0.14654519,0.6519181
405266,-1.9499841,0.49566337,0.16087253,0.65479934
405543,-2.0197518,0.4829125,0.1490983,0.63934577
405957,-2.1165893,0.4897633,0.13578871,0.56609744
407228,-2.0451667,0.5253377,0.14849903,0.53807956
413949,-2.120296,0.4946266,0.13561054,0.55429184
414078,-2.113134,0.5600073,0.14137635,0.45080572
414364,-2.0682967,0.51284426,0.1441657,0.5481393
423723,-2.0132153,0.5711464,0.15721968,0.4819611
424597,-2.1004865,0.51926965,0.14006257,0.519441
426756,-2.1653504,0.47983393,0.1287053,0.5590035
427629,-2.028409,0.49095064,0.14839277,0.61565447
439134,-2.1094594,0.49797207,0.13731588,0.5537463
454267,-2.106911,0.51476014,0.13884154,0.5239739
454462,-2.093361,0.4709386,0.13772872,0.6210062
455084,-2.0226228,0.51369035,0.15096854,0.57211536
456831,-2.0337505,0.5172026,0.14956842,0.55913734
457747,-2.1171834,0.49241522,0.1358849,0.56041306
464149,-2.0519388,0.5104301,0.14636244,0.5617681
467312,-1.993192,0.4981373,0.15425912,0.6216597
471135,-2.1702003,0.4978004,0.1292124,0.52142715
471355,-2.080206,0.5419683,0.14466405,0.49250752
477745,-2.0695179,0.51187134,0.143918,0.5492796
485065,-2.0317872,0.567742,0.15402788,0.47785628
485955,-2.0851676,0.52038604,0.14230725,0.5255037
486365,-2.1222215,0.5551845,0.13972117,0.45330194
487060,-2.1475852,0.54413027,0.13539669,0.4573011
489291,-1.9871694,0.5192781,0.15686896,0.5817508
493446,-2.0311818,0.5167909,0.14992121,0.56134945
493493,-2.1168067,0.4837507,0.13536245,0.57843554
494168,-2.0257847,0.5445772,0.15297167,0.5158128
494822,-1.9481817,0.4946092,0.16107865,0.658436
497657,-1.9992889,0.4597362,0.15052739,0.7121937
500420,-2.0590749,0.47228432,0.14262326,0.63941574
502218,-2.070798,0.512693,0.14379439,0.5470502
503549,-2.0211518,0.50444263,0.15048067,0.5913671
505433,-2.004925,0.5187473,0.15406579,0.572525
508574,-2.0299578,0.48103234,0.14745066,0.63723284
509007,-2.0508754,0.51800364,0.14708987,0.54817235
509254,-2.1471448,0.46740538,0.13030063,0.59642947
509719,-2.0766182,0.50086427,0.14210548,0.5664619
521847,-2.1764376,0.47897133,0.12723355,0.5546035
522896,-2.1556544,0.5334771,0.13353983,0.4692229
523563,-2.0116377,0.47765198,0.14993371,0.65716755
523920,-2.017189,0.5122938,0.15168238,0.5779588
524132,-2.0296693,0.50368875,0.14914772,0.5878846
525637,-1.9767059,0.5032375,0.1572243,0.62083143
527912,-2.0837252,0.5402143,0.14401908,0.49350083
528629,-2.0062127,0.4904197,0.15168382,0.6306719
529407,-2.0700238,0.55245346,0.1469855,0.4815963
529565,-2.085625,0.5230145,0.14243737,0.5207107
539278,-2.01519,0.5372458,0.15398912,0.53351176
543918,-2.1133318,0.50315636,0.13714059,0.54170156
549174,-2.0019479,0.520925,0.15470016,0.570086
551294,-2.022921,0.53370273,0.15251356,0.5354385
553414,-2.1487584,0.52210706,0.13365941,0.49032086
554348,-2.0935354,0.49289724,0.13916965,0.5728379
555199,-2.1015415,0.4907812,0.13791628,0.5725847
558320,-2.040652,0.5076957,0.14781784,0.57348216
561446,-2.0382442,0.4824199,0.14633164,0.62876415
563335,-2.07104,0.47105694,0.14084539,0.63473994
563970,-2.1164906,0.50112313,0.13656858,0.5438284
565096,-2.1270473,0.4768593,0.13354056,0.58726305
566830,-2.0875466,0.47527805,0.13881657,0.61453384
567802,-2.1034663,0.50329584,0.13850997,0.5468074
569720,-2.1256418,0.5244682,0.13695425,0.49789435
574106,-2.0703201,0.48061144,0.14158905,0.61297315
574383,-2.1009753,0.45410523,0.13562392,0.6576931
574688,-2.0355287,0.49147743,0.14737813,0.61013496
578466,-1.9786131,0.47405037,0.15470251,0.68841195
579158,-2.0721908,0.5334024,0.14515811,0.5101894
579161,-1.9993699,0.5127102,0.15444241,0.58751994
580370,-2.0170343,0.46275303,0.1480857,0.69153565
580405,-2.0633407,0.4820192,0.14267737,0.6140821
584765,-2.0841413,0.49442652,0.1405893,0.5751071
592366,-2.0485334,0.5123563,0.14700642,0.56000537
596105,-2.1355991,0.51753515,0.13510841,0.5044321
597809,-2.0185122,0.473434,0.14860813,0.66301554
601033,-2.0068,0.49525094,0.15195619,0.6195377
605458,-2.0070198,0.5154918,0.15348478,0.57759285
606010,-2.064594,0.48316705,0.1425776,0.6107405
607598,-2.0811324,0.4680333,0.13923323,0.635608
609426,-2.0895534,0.44499123,0.13662098,0.68994504
610578,-2.1140234,0.44482622,0.13330863,0.673717
611398,-1.9953064,0.532769,0.15670583,0.5520866
611917,-2.103064,0.5213028,0.13984989,0.51461446
613297,-2.029982,0.57690686,0.15511768,0.46606866
621425,-1.996805,0.47905076,0.15227608,0.66354233
622707,-2.0340056,0.4975033,0.14804325,0.5981315
624671,-2.0533621,0.47660288,0.14373456,0.6327729
625411,-2.0818841,0.50786716,0.1418593,0.54999346
632212,-2.05308,0.5259985,0.14737971,0.5326829
648975,-2.0952494,0.47759005,0.1379032,0.60459393
651804,-1.9775805,0.5067434,0.15736519,0.6128194
653346,-1.9795259,0.48468983,0.1553517,0.66128427
660868,-2.0696466,0.47799903,0.14150715,0.61933315
664463,-2.0847666,0.5508112,0.14470325,0.47694996
668601,-2.1153505,0.5663867,0.14157106,0.4413147
669867,-2.0576391,0.4839176,0.14362478,0.6133192
670401,-2.1132152,0.45939428,0.13429804,0.6363536
673197,-2.0477936,0.47383735,0.14434735,0.6429101
677822,-2.0404005,0.4734939,0.14539483,0.6485152
680382,-2.0515506,0.4885991,0.14483124,0.60667616
686134,-1.9500433,0.4643831,0.15846565,0.73482233
688503,-2.0818472,0.50562805,0.14170367,0.5542667
692103,-2.0403461,0.45379314,0.14408067,0.6996646
701916,-2.1055021,0.5034439,0.13823858,0.54541504
702463,-2.0779967,0.48638844,0.1408993,0.595583
704087,-2.031746,0.51587147,0.14976555,0.5627674
709883,-2.0681398,0.5047104,0.14359283,0.5637004
713791,-2.0553343,0.46705824,0.1428068,0.6546464
715383,-2.1293902,0.45731455,0.13201734,0.63124937
718474,-2.0536249,0.52006495,0.14684303,0.5429229
719056,-2.0565288,0.53166956,0.14731346,0.5211453
721843,-2.1017194,0.4823301,0.13732593,0.59028774
731214,-2.072624,0.5103132,0.14335744,0.55048645
734805,-2.0758765,0.5424163,0.14532702,0.49394768
739161,-2.0044365,0.4966628,0.15242243,0.61791056
741088,-2.0168614,0.5461574,0.15447585,0.51787496
741636,-1.9987189,0.46651876,0.15108706,0.6942071
742320,-2.1089222,0.5322778,0.13983916,0.49357376
742335,-1.9894532,0.51605034,0.1562498,0.586726
743024,-2.0576434,0.45993724,0.14200795,0.6712982
752372,-2.0470262,0.528269,0.14845224,0.531957
755693,-1.9468975,0.5042459,0.16206375,0.637384
756166,-2.1219366,0.51179546,0.136563,0.52136296
758044,-1.9974611,0.4878015,0.15282133,0.6422406
769125,-2.0096471,0.5549206,0.15634681,0.50772357
770437,-2.0030487,0.513977,0.1539754,0.58285964
770858,-2.0442946,0.5117932,0.14758834,0.56345993
771718,-1.9582753,0.4901359,0.15911011,0.66231525
775338,-1.9928424,0.5103127,0.1552633,0.59620565
779919,-2.1248941,0.43232456,0.13114628,0.7016753
780025,-2.1038527,0.5329676,0.14060152,0.49498078
780651,-2.125867,0.48658305,0.13432601,0.5673436
783583,-2.1300778,0.49256453,0.13415387,0.55293864
786574,-2.1058135,0.45464158,0.13500221,0.6531344
788814,-2.0031657,0.4937006,0.15239254,0.62522507
792264,-2.0715275,0.49563357,0.14245899,0.5799205
799221,-2.0524023,0.50206363,0.14567629,0.5779248
802402,-2.101747,0.48423997,0.13744892,0.58616525
811964,-2.0380313,0.52721906,0.14971057,0.5386048
815680,-1.9723783,0.51891464,0.15917642,0.59113526
816060,-2.0448792,0.48021686,0.14520988,0.62968206
830894,-2.0814404,0.47093022,0.13937978,0.6284731
835306,-2.0192418,0.47045803,0.14829133,0.66999876
837877,-2.0392067,0.44486833,0.14366764,0.7259321
838810,-2.0366833,0.5083076,0.14845179,0.5745559
838833,-2.0187316,0.47385594,0.14860526,0.66182244
840274,-2.0536313,0.48175955,0.1440514,0.6206644
858520,-2.0494015,0.4884174,0.14512995,0.60837984
859680,-2.0550737,0.45060483,0.1417697,0.6982192
861393,-1.9767468,0.4868501,0.1559476,0.65794283
870026,-2.0617704,0.5181677,0.14550838,0.5419352
870848,-2.02853,0.50488746,0.14940804,0.5861176
874155,-2.1023045,0.50835574,0.13902636,0.5379745
884467,-2.071469,0.5052188,0.14315233,0.56084055
884993,-2.020713,0.5256211,0.1521978,0.5508872
888211,-2.1959677,0.46560332,0.12398751,0.5719338
889932,-2.0177386,0.5031569,0.1508974,0.5960393
891802,-2.009142,0.47279936,0.14996217,0.6708539
894268,-1.9669274,0.5047331,0.15888897,0.623692
895125,-1.9826387,0.5655895,0.16159,0.50514
895410,-2.0388083,0.5035384,0.14777967,0.58284014
899789,-2.007612,0.49843997,0.15207359,0.61210805
900028,-2.0777555,0.44394532,0.13817813,0.7011006
900474,-1.952561,0.51245695,0.16182254,0.6162036
904660,-2.0061872,0.47080898,0.15026473,0.677903
905690,-2.0748162,0.46344274,0.1398162,0.6509765
917125,-1.986544,0.49628547,0.15514511,0.62990487
917897,-2.0833206,0.45538262,0.13811979,0.6660442
920036,-2.0159466,0.50225765,0.15109973,0.59897757
920987,-1.9542682,0.47871298,0.15886743,0.69324136
922606,-2.0695198,0.5162889,0.14424491,0.54114664
926943,-2.0277557,0.48154467,0.14781214,0.6374365
929213,-2.0317812,0.4840242,0.14739467,0.6291405
930915,-2.0345888,0.49085808,0.14747186,0.6120646
932010,-2.0317295,0.49455673,0.14816388,0.6057733
936180,-2.0201318,0.5225723,0.15204315,0.5567678
936297,-2.074955,0.49983987,0.14226909,0.569441
939130,-2.078714,0.50659204,0.14221773,0.5541624
943374,-2.0975106,0.4704333,0.13712576,0.61961645
944829,-2.0633957,0.48387527,0.14279746,0.6098929
948931,-2.071263,0.5296821,0.1450058,0.51683843
950185,-1.956646,0.48415285,0.15890576,0.6779141
962244,-1.9743762,0.49077803,0.15661813,0.6502372
968484,-2.0412874,0.4957469,0.146841,0.5974854
968649,-2.011376,0.45337468,0.14828761,0.72142357
969912,-2.100673,0.4464176,0.13519615,0.67839354
970661,-2.0941708,0.4335511,0.1353099,0.7198616
978605,-2.141664,0.5232076,0.13468845,0.49201944
990166,-2.1247213,0.49818915,0.1352507,0.5449429
994269,-2.031815,0.51944536,0.15003252,0.5560395
997628,-2.0156655,0.5201661,0.15253225,0.56373835
999511,-1.9680014,0.47723058,0.15658963,0.68755347
1000211,-2.0362527,0.5302982,0.15022145,0.534185
1007040,-2.0317898,0.4879379,0.14767402,0.6202618
1010138,-2.0050044,0.53939694,0.15574585,0.5353028
1012292,-2.0397918,0.44643092,0.14368361,0.7209393
1014387,-2.0268266,0.5221189,0.1509929,0.55388254
1018604,-2.0583322,0.48993838,0.14394666,0.59967875
1029159,-2.111988,0.50299597,0.13731392,0.5427322
1030763,-2.0192254,0.53397334,0.15310037,0.53695405
1034356,-2.0457358,0.47836486,0.14495683,0.6334614
1052401,-2.0318117,0.51156586,0.14942484,0.57097834
1060937,-1.955145,0.52603114,0.1625466,0.5874285
1061740,-2.1182659,0.49157065,0.13568151,0.56149876
1061963,-2.0389926,0.47010455,0.14536704,0.6577745
1066294,-2.074924,0.5111882,0.14309204,0.5475879
1069086,-2.1069763,0.4868482,0.13690533,0.577608
1076500,-2.1253195,0.5154083,0.13635458,0.51329494
1077655,-2.0463107,0.47306356,0.14450863,0.6457357
1078765,-2.0835257,0.4404694,0.1371721,0.7070242
1078878,-2.1132321,0.49397886,0.13652815,0.55950695
1086727,-1.9536796,0.48499095,0.15944257,0.6778553
1089216,-1.9765655,0.5176805,0.15840997,0.5910971
1099356,-2.1869922,0.515543,0.12820819,0.48237637
1102816,-2.067267,0.49938762,0.14333469,0.5747457
1112815,-2.001726,0.5374279,0.15609172,0.54042995
1118499,-2.0882964,0.5544751,0.14448565,0.46995968
1119741,-2.0592182,0.48910868,0.14376079,0.600938
1120270,-2.0508082,0.47904,0.14427003,0.6286843
1121741,-2.080308,0.44541588,0.13791601,0.69515765
1125591,-2.06024,0.5358286,0.14709394,0.512322
1129565,-2.0618687,0.53908294,0.14711164,0.506216
1130889,-2.071732,0.50511616,0.14310725,0.5608918
1131080,-1.9664557,0.54150784,0.16205162,0.552642
1132043,-2.102898,0.5236365,0.14004377,0.5107448
1135309,-2.0649157,0.51134485,0.14454292,0.55280125
1140762,-2.105171,0.521404,0.1395629,0.51335907
1141239,-2.002428,0.5401472,0.15621085,0.5354106
1147758,-2.0728767,0.49877682,0.14248942,0.5727566
1148472,-2.0178037,0.4858995,0.14960533,0.63365686
1155901,-1.9594954,0.506187,0.16019191,0.62519944
1159268,-1.9790436,0.4924018,0.15601332,0.6434613
1159747,-2.090183,0.5079166,0.14069043,0.5453555
1160974,-1.9873583,0.52924144,0.15766071,0.56288
1168236,-2.1455839,0.5356345,0.1350471,0.47070426
1168416,-2.078289,0.5257043,0.14368865,0.5199234
1170703,-1.9957218,0.49467012,0.15360476,0.6277306
1171415,-1.9845117,0.48357317,0.15449551,0.6606805
1173120,-2.081058,0.4959826,0.14113213,0.5737108
1173300,-2.0683687,0.5444957,0.14658777,0.4944346
1174042,-1.9768015,0.5231243,0.15882187,0.5803641
